【来源】https://github.com/xisohi/CHINA-IPTV
央视,#genre#
CCTV1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000152
CCTV1,http://10.255.127.35:6060/gitv_live/G_CCTV-1-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV2,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000477
CCTV2,http://10.255.127.35:6060/gitv_live/G_CCTV-2-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV3,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000487
CCTV3,http://10.255.126.3:8006/AHBKLIVE/11111120210729000000000000000003
CCTV3,http://10.255.127.35:6060/gitv_live/G_CCTV-3-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV4,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000573
CCTV4,http://10.255.127.35:6060/gitv_live/G_CCTV-4-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV5,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000481
CCTV5,http://10.255.126.3:8006/AHBKLIVE/11111120210528000000000000000001
CCTV5,http://10.255.127.35:6060/gitv_live/G_CCTV-5-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV5+,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000153
CCTV5+,http://10.255.127.35:6060/gitv_live/G_CCTV-5PLUS-CQ/index.m3u8?Playtype=1&m3u8_level=2
CCTV5+,http://10.255.127.35:6060/gitv_live/G_CCTV-5PLUS-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV6,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000005
CCTV6,http://10.255.127.35:6060/gitv_live/G_CCTV-6-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV7,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000485
CCTV7,http://10.255.127.35:6060/gitv_live/G_CCTV-7-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV8,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000476
CCTV8,http://10.255.127.35:6060/gitv_live/G_CCTV-8-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV9,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000478
CCTV9,http://10.255.127.35:6060/gitv_live/G_CCTV-9-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV10,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000480
CCTV10,http://10.255.127.35:6060/gitv_live/G_CCTV-10-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV11,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000583
CCTV11,http://10.255.126.201:8112/AHBKLIVE/00000001000000050000000000000583
CCTV11,http://10.255.127.35:6060/gitv_live/G_CCTV-11-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV12,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000482
CCTV12,http://10.255.127.35:6060/gitv_live/G_CCTV-12-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV13,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000602
CCTV13,http://10.255.127.35:6060/gitv_live/G_CCTV-13-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV14,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000483
CCTV14,http://10.255.127.35:6060/gitv_live/G_CCTV-14-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CCTV15,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000587
CCTV15,http://10.255.126.201:8112/AHBKLIVE/00000001000000050000000000000587
CCTV15,http://10.255.127.35:6060/gitv_live/G_CCTV-15-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
