央视,#genre#
CCTV1,rtsp://180.141.207.144/PLTV/88888888/224/3221225536/10000100000000060000000000081865_0.smil
CCTV2,rtsp://180.141.207.144/PLTV/88888888/224/3221225833/10000100000000060000000000837407_0.smil
CCTV3,rtsp://180.141.207.144/PLTV/88888888/224/3221225887/10000100000000060000000001369157_0.smil
CCTV4,rtsp://180.141.207.144/PLTV/88888888/224/3221225829/10000100000000060000000000837405_0.smil
CCTV5,rtsp://180.141.207.144/PLTV/88888888/224/3221225891/10000100000000060000000001369159_0.smil
CCTV5+,rtsp://180.141.207.144/PLTV/88888888/224/3221225537/10000100000000060000000000081866_0.smil
CCTV6,rtsp://180.141.207.144/PLTV/88888888/224/3221225889/10000100000000060000000001369158_0.smil
CCTV7,rtsp://180.141.207.144/PLTV/88888888/224/3221225839/10000100000000060000000000837410_0.smil
CCTV8,rtsp://180.141.207.144/PLTV/88888888/224/3221225893/10000100000000060000000001369160_0.smil
CCTV9,rtsp://180.141.207.144/PLTV/88888888/224/3221225586/10000100000000060000000000084017_0.smil
CCTV10,rtsp://180.141.207.144/PLTV/88888888/224/3221225835/10000100000000060000000000837408_0.smil
CCTV11,rtsp://180.141.207.144/PLTV/88888888/224/3221225914/10000100000000060000000001354043_0.smil
CCTV12,rtsp://180.141.207.144/PLTV/88888888/224/3221225831/10000100000000060000000000837406_0.smil
CCTV13,rtsp://180.141.207.144/PLTV/88888888/224/3221226051/10000100000000060000000001737484_0.smil
CCTV14,rtsp://180.141.207.144/PLTV/88888888/224/3221225837/10000100000000060000000000837409_0.smil
CCTV15,rtsp://180.141.207.144/PLTV/88888888/224/3221225912/10000100000000060000000001354036_0.smil
CCTV16,rtsp://180.141.207.144/PLTV/88888888/224/3221226075/10000100000000060000000002265631_0.smil
CCTV17,rtsp://180.141.207.144/PLTV/88888888/224/3221225881/10000100000000060000000001319611_0.smil
CGTN,rtsp://180.141.207.144/PLTV/88888888/224/3221225532/10000100000000060000000000081861_0.smil

卫视,#genre#
安徽卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221226050/10000100000000060000000001597137_0.smil
北京卫视,rtsp://180.141.206.228/PLTV/88888888/224/3221226565/10000100000000060000000004576393_0.smil
北京卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225538/10000100000000060000000000081867_0.smil
重庆卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225506/10000100000000060000000000081835_0.smil
东方卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225580/10000100000000060000000000081909_0.smil
甘肃卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221226062/10000100000000060000000001737483_0.smil
广东卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225480/10000100000000060000000000081809_0.smil
广西卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225560/10000100000000060000000000081889_0.smil
贵州卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225819/10000100000000060000000000654507_0.smil
海南卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225511/10000100000000060000000000081840_0.smil
河北卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225827/10000100000000060000000000837404_0.smil
河南卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225508/10000100000000060000000000081837_0.smil
黑龙江卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225540/10000100000000060000000000081869_0.smil
湖北卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225548/10000100000000060000000000081877_0.smil
湖南卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225539/10000100000000060000000000081868_0.smil
吉林卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221226089/10000100000000060000000002293644_0.smil
江苏卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225542/10000100000000060000000000081871_0.smil
江西卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221226059/10000100000000060000000001676004_0.smil
辽宁卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221226053/10000100000000060000000001597138_0.smil
内蒙古卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225520/10000100000000060000000000081849_0.smil
宁夏卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225505/10000100000000060000000000081834_0.smil
山东卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225482/10000100000000060000000000081811_0.smil
深圳卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225541/10000100000000060000000000081870_0.smil
四川卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221226058/10000100000000060000000001874769_0.smil
天津卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225481/10000100000000060000000000081810_0.smil
西藏卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225522/10000100000000060000000000081851_0.smil
新疆卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225519/10000100000000060000000000081848_0.smil
云南卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225489/10000100000000060000000000081818_0.smil
浙江卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225547/10000100000000060000000000081876_0.smil

教育,#genre#
CETV1,rtsp://180.141.207.144/PLTV/88888888/224/3221225836/10000100000000060000000000421211_0.smil
CETV2,rtsp://180.141.207.144/PLTV/88888888/224/3221225942/10000100000000060000000001442005_0.smil
CETV4,rtsp://180.141.207.144/PLTV/88888888/224/3221225940/10000100000000060000000001442004_0.smil
山东教育卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225817/10000100000000060000000000423563_0.smil

地方,#genre#
北京纪实科教,rtsp://180.141.207.144/PLTV/88888888/224/3221226549/10000100000000060000000003726947_0.smil
东南卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225841/10000100000000060000000000837411_0.smil
嘉佳卡通,rtsp://180.141.207.144/PLTV/88888888/224/3221225612/10000100000000060000000000084015_0_mdn_5.smil
大湾区卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221225558/10000100000000060000000000081887_0.smil
广西综艺旅游,rtsp://180.141.207.144/PLTV/88888888/224/3221226057/10000100000000060000000001926027_0.smil
广西都市,rtsp://180.141.207.144/PLTV/88888888/224/3221226060/10000100000000060000000001926028_0.smil
广西影视,rtsp://180.141.207.144/PLTV/88888888/224/3221226065/10000100000000060000000001926031_0.smil
广西乐思购,rtsp://180.141.207.144/PLTV/88888888/224/3221225555/10000100000000060000000000081884_0.smil
广西新闻,rtsp://180.141.207.144/PLTV/88888888/224/3221226064/10000100000000060000000001926029_0.smil
兵团卫视,rtsp://180.141.207.144/PLTV/88888888/224/3221226049/10000100000000060000000001597135_0.smil

其它,#genre#
爱体育,rtsp://180.141.207.144/PLTV/88888888/224/3221226086/10000100000000060000000002245676_0.smil
爱综艺,rtsp://180.141.207.144/PLTV/88888888/224/3221225525/10000100000000060000000000081854_0.smil
都市剧场,rtsp://180.141.207.144/PLTV/88888888/224/3221225566/10000100000000060000000000081895_0.smil
广西移动电视,rtsp://180.141.207.144/PLTV/88888888/224/3221225556/10000100000000060000000000081885_0.smil
广西IPTV1,rtsp://180.141.207.144/PLTV/88888888/224/3221225562/10000100000000060000000000081891_0.smil
广西IPTV2,rtsp://180.141.207.144/PLTV/88888888/224/3221225824/10000100000000060000000000084022_0_mdn_1.smil
CCTV-4K超,rtsp://180.141.207.144/PLTV/88888888/224/3221226527/10000100000000060000000003726946_0.smil
湖南卫视4K,rtsp://113.12.86.196/PLTV/88888888/224/3221226596/564711106.smil
东方卫视4K,rtsp://113.12.86.196/PLTV/88888888/224/3221226577/564711118.smil
广西IPTV5,rtsp://180.141.207.144/PLTV/88888888/224/3221225564/10000100000000060000000000081893_0.smil
广西IPTV7,rtsp://180.141.207.144/PLTV/88888888/224/3221225897/10000100000000060000000001409751_0.smil
广西IPTV9,rtsp://180.141.207.144/PLTV/88888888/224/3221226066/10000100000000060000000001971028_0.smil
广西IPTV10,rtsp://180.141.207.144/PLTV/88888888/224/3221226071/10000100000000060000000001972802_0.smil
广西IPTV12,rtsp://180.141.207.144/PLTV/88888888/224/3221225598/10000100000000060000000000084029_0.smil
广西IPTV13,rtsp://180.141.207.144/PLTV/88888888/224/3221225599/10000100000000060000000000084030_0.smil
广西IPTV40,rtsp://180.141.207.144/PLTV/88888888/224/3221226428/10000100000000060000000002864278_0.smil
广西IPTV41,rtsp://180.141.207.144/PLTV/88888888/224/3221226430/10000100000000060000000002864279_0.smil
广西IPTV44,rtsp://180.141.207.144/PLTV/88888888/224/3221226436/10000100000000060000000002864282_0.smil
广西IPTV45,rtsp://180.141.207.144/PLTV/88888888/224/3221226431/10000100000000060000000002864283_0.smil
广西IPTV46,rtsp://180.141.207.144/PLTV/88888888/224/3221226434/10000100000000060000000002864284_0.smil
广西IPTV48,rtsp://180.141.207.144/PLTV/88888888/224/3221226439/10000100000000060000000002864286_0.smil
广西IPTV100,rtsp://180.141.207.144/PLTV/88888888/224/3221226444/10000100000000060000000003233818_0.smil
广西IPTV102,rtsp://180.141.207.144/PLTV/88888888/224/3221226526/10000100000000060000000003706297_0.smil
金鹰纪实,rtsp://180.141.207.144/PLTV/88888888/224/3221225815/10000100000000060000000000421256_0.smil
金鹰卡通,rtsp://180.141.207.144/PLTV/88888888/224/3221226076/10000100000000060000000002343740_0.smil
