央视,#genre#
CCTV1,http://www.hiiptv.cn:6060/200000001898/460000089800010144/1.m3u8
CCTV2,http://www.hiiptv.cn:6060/200000001898/460000089800010211/1.m3u8
CCTV3,http://www.hiiptv.cn:6060/200000001898/460000089800010212/.m3u8
CCTV4,http://www.hiiptv.cn:6060/200000001898/460000089800010017/.m3u8
CCTV5,http://www.hiiptv.cn:6060/200000001898/460000089800010145/.m3u8
CCTV5+,http://www.hiiptv.cn:6060/200000001898/460000089800010202/1.m3u8
CCTV6,http://www.hiiptv.cn:6060/200000001898/460000089800010214/.m3u8
CCTV7,http://www.hiiptv.cn:6060/200000001898/460000089800010215/1.m3u8
CCTV8,http://www.hiiptv.cn:6060/200000001898/460000089800010216/.m3u8
CCTV9,http://www.hiiptv.cn:6060/200000001898/460000089800010217/1.m3u8
CCTV10,http://www.hiiptv.cn:6060/200000001898/460000089800010203/1.m3u8
CCTV11,http://www.hiiptv.cn:6060/200000001898/460000089800010092/.m3u8
CCTV12,http://www.hiiptv.cn:6060/200000001898/460000089800010205/1.m3u8
CCTV13,http://www.hiiptv.cn:6060/200000001898/460000089800010093/1.m3u8
CCTV14,http://www.hiiptv.cn:6060/200000001898/460000089800010207/1.m3u8
CCTV15,http://www.hiiptv.cn:6060/200000001898/460000089800010094/.m3u8
CCTV16,http://www.hiiptv.cn:6060/200000001898/460000089800010142/.m3u8
CCTV17,http://www.hiiptv.cn:6060/200000001898/460000089800010210/1.m3u8

卫视,#genre#
安徽卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010041/1.m3u8
北京卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010143/1.m3u8
重庆卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010218/1.m3u8
东方卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010219/1.m3u8
甘肃卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010098/.m3u8
广东卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010221/1.m3u8
广西卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010099/.m3u8
贵州卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010100/.m3u8
海南卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010083/1.m3u8
河北卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010101/.m3u8
河南卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010071/1.m3u8
黑龙江卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010222/1.m3u8
湖北卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010223/1.m3u8
湖南卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010224/1.m3u8
吉林卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010075/.m3u8
江苏卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010225/1.m3u8
江西卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010060/1.m3u8
辽宁卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010061/1.m3u8
内蒙古卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010109/.m3u8
宁夏卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010110/.m3u8
青海卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010111/.m3u8
山东卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010066/1.m3u8
山西卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010114/.m3u8
陕西卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010113/.m3u8
深圳卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010068/1.m3u8
四川卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010115/.m3u8
天津卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010069/1.m3u8
新疆卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010116/.m3u8
云南卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010119/.m3u8
浙江卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010070/1.m3u8

地方,#genre#
东南卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010096/.m3u8
广东珠江,http://www.hiiptv.cn:6060/200000001898/460000089800010091/1.m3u8
嘉佳卡通,http://www.hiiptv.cn:6060/200000001898/460000089800010102/1.m3u8
海南自贸,http://www.hiiptv.cn:6060/000000001000/4600001000000000164/1.m3u8?Contentid=4600001000000000164&stbId=005103FF00010060000100E400F75DA4
海南文旅,http://www.hiiptv.cn:6060/000000001000/4600001000000000165/1.m3u8?Contentid=4600001000000000165&stbId=005103FF00010060000100E400F75DA4
海南少儿,http://www.hiiptv.cn:6060/000000001000/4600001000000000112/1.m3u8?Contentid=4600001000000000112&stbId=005103FF00010060000100E400F75DA4
海南新闻,http://www.hiiptv.cn:6060/000000001000/4600001000000000111/1.m3u8?Contentid=4600001000000000111&stbId=005103FF00010060000100E400F75DA4
三沙卫视,http://www.hiiptv.cn:6060/000000001000/4600001000000000117/1.m3u8?Contentid=4600001000000000117&stbId=005103FF00010060000100E400F75DA4
海南社会与法,http://www.hiiptv.cn:6060/000000001000/460000100000000057/1.m3u8?Contentid=460000100000000057&stbId=005103FF00010060000100E400F75DA4
金鹰卡通,http://www.hiiptv.cn:6060/200000001898/460000089800010107/.m3u8
金鹰纪实,http://www.hiiptv.cn:6060/200000001898/460000089800010106/1.m3u8

教育,#genre#
CETV1,http://www.hiiptv.cn:6060/200000001898/460000089800010103/.m3u8
CETV2,http://www.hiiptv.cn:6060/200000001898/460000089800010104/.m3u8
CETV4,http://www.hiiptv.cn:6060/200000001898/460000089800010105/1.m3u8
山东教育卫视,http://www.hiiptv.cn:6060/200000001898/460000089800010112/.m3u8

其它,#genre#
爱情喜剧,http://www.hiiptv.cn:6060/200000001898/460000089800010000/1.m3u8
超级电视剧,http://www.hiiptv.cn:6060/200000001898/460000089800010065/1.m3u8
超级电影,http://www.hiiptv.cn:6060/200000001898/460000089800010064/1.m3u8
超级体育,http://www.hiiptv.cn:6060/200000001898/460000089800010063/1.m3u8
超级综艺,http://www.hiiptv.cn:6060/200000001898/460000089800010062/1.m3u8
潮妈辣婆,http://www.hiiptv.cn:6060/200000001898/460000089800010005/1.m3u8
纯享4K,http://www.hiiptv.cn:6060/200000001898/460000089800010006/1.m3u8
哒啵赛事,http://www.hiiptv.cn:6060/200000001898/460000089800010120/1.m3u8
东北热剧,http://www.hiiptv.cn:6060/200000001898/460000089800010021/.m3u8
动作电影,http://www.hiiptv.cn:6060/200000001898/460000089800010003/.m3u8
古装剧场,http://www.hiiptv.cn:6060/200000001898/460000089800010004/1.m3u8
海口1台,http://www.hiiptv.cn:6060/000000001000/460000100000000071/1.m3u8?Contentid=460000100000000071&stbId=005103FF00010060000100E400F75DA4
海口2台,http://www.hiiptv.cn:6060/000000001000/460000100000000077/1.m3u8?Contentid=460000100000000077&stbId=005103FF00010060000100E400F75DA4
海口3台,http://www.hiiptv.cn:6060/000000001000/460000100000000072/1.m3u8?Contentid=460000100000000072&stbId=005103FF00010060000100E400F75DA4
黑莓电影,http://www.hiiptv.cn:6060/200000001898/460000089800010073/1.m3u8
黑莓动画,http://www.hiiptv.cn:6060/200000001898/460000089800010002/1.m3u8
欢乐剧场,http://www.hiiptv.cn:6060/200000001898/460000089800010025/.m3u8
家电食品,http://www.hiiptv.cn:6060/200000001898/460000089800010133/.m3u8
家庭剧场,http://www.hiiptv.cn:6060/200000001898/460000089800010074/1.m3u8
健康养生,http://www.hiiptv.cn:6060/200000001898/460000089800010132/.m3u8
金牌综艺,http://www.hiiptv.cn:6060/200000001898/460000089800010086/.m3u8
惊悚悬疑,http://www.hiiptv.cn:6060/200000001898/460000089800010077/.m3u8
睛彩广场舞,http://www.hiiptv.cn:6060/200000001898/460000089800010233/1.m3u8
睛彩竞技,http://www.hiiptv.cn:6060/000000001000/1000000006000270001/1.m3u8?Contentid=1000000006000270001&stbId=005103FF00010060000100E400F75DA4
睛彩篮球,http://www.hiiptv.cn:6060/000000001000/1000000006000270002/1.m3u8?Contentid=1000000006000270002&stbId=005103FF00010060000100E400F75DA4
睛彩青少,http://www.hiiptv.cn:6060/200000001898/460000089800010147/.m3u8
精品大剧,http://www.hiiptv.cn:6060/200000001898/460000089800010072/.m3u8
精品纪录,http://www.hiiptv.cn:6060/200000001898/460000089800010076/1.m3u8
精品家居,http://www.hiiptv.cn:6060/200000001898/460000089800010088/.m3u8
精品萌宠,http://www.hiiptv.cn:6060/200000001898/460000089800010146/.m3u8
精品体育,http://www.hiiptv.cn:6060/200000001898/460000089800010078/.m3u8
精品综合,http://www.hiiptv.cn:6060/200000001898/460000089800010084/1.m3u8
军旅剧场,http://www.hiiptv.cn:6060/200000001898/460000089800010079/1.m3u8
军事评论,http://www.hiiptv.cn:6060/200000001898/460000089800010080/1.m3u8
康养保健,http://www.hiiptv.cn:6060/200000001898/460000089800010129/.m3u8
农业致富,http://www.hiiptv.cn:6060/200000001898/460000089800010085/1.m3u8
热播精选,http://www.hiiptv.cn:6060/200000001898/460000089800010121/1.m3u8
三亚1台,http://www.hiiptv.cn:6060/000000001000/460000100000000074/1.m3u8?Contentid=460000100000000074&stbId=005103FF00010060000100E400F75DA4
文化收藏,http://www.hiiptv.cn:6060/200000001898/460000089800010134/.m3u8
西藏卫视藏语,http://www.hiiptv.cn:6060/200000001898/460000089800010123/1.m3u8
炫舞未来,http://www.hiiptv.cn:6060/200000001898/460000089800010039/1.m3u8
怡伴健康,http://www.hiiptv.cn:6060/200000001898/460000089800010082/1.m3u8
银发生活,http://www.hiiptv.cn:6060/200000001898/460000089800010097/1.m3u8
营养饮食,http://www.hiiptv.cn:6060/200000001898/460000089800010089/1.m3u8
优漫卡通,http://www.hiiptv.cn:6060/200000001898/460000089800010118/.m3u8
运动文旅,http://www.hiiptv.cn:6060/200000001898/460000089800010131/.m3u8
中国功夫,http://www.hiiptv.cn:6060/200000001898/460000089800010087/1.m3u8
