央视,#genre#
CCTV1,rtsp://10.7.10.219/PLTV/88888888/224/3221225663/723222.smil
CCTV2,rtsp://10.7.10.219/PLTV/88888888/224/3221225671/723629.smil
CCTV3,rtsp://10.7.10.219/PLTV/88888888/224/3221225688/723212.smil
CCTV4,rtsp://10.7.10.219/PLTV/88888888/224/3221225658/723203.smil
CCTV4欧洲,rtsp://10.7.10.219/PLTV/88888888/224/3221225959/160627379.smil
CCTV4美洲,rtsp://10.7.10.219/PLTV/88888888/224/3221225955/160627323.smil
CCTV5,rtsp://10.7.10.219/PLTV/88888888/224/3221225705/723183.smil
CCTV5+,rtsp://10.7.10.219/PLTV/88888888/224/3221225693/723218.smil
CCTV6,rtsp://10.7.10.219/PLTV/88888888/224/3221225692/723187.smil
CCTV7,rtsp://10.7.10.219/PLTV/88888888/224/3221225818/4122291.smil
CCTV8,rtsp://10.7.10.219/PLTV/88888888/224/3221225667/723197.smil
CCTV9,rtsp://10.7.10.219/PLTV/88888888/224/3221225778/1016008.smil
CCTV10,rtsp://10.7.10.219/PLTV/88888888/224/3221225697/723207.smil
CCTV11,rtsp://10.7.10.219/PLTV/88888888/224/3221226088/70946192.smil
CCTV12,rtsp://10.7.10.219/PLTV/88888888/224/3221225662/723191.smil
CCTV13,rtsp://10.7.10.219/PLTV/88888888/224/3221225685/699947.smil
CCTV14,rtsp://10.7.10.219/PLTV/88888888/224/3221225701/723196.smil
CCTV15,rtsp://10.7.10.219/PLTV/88888888/224/3221225919/70947028.smil
CCTV16,rtsp://10.7.10.219/PLTV/88888888/224/3221226182/393437513.smil
CCTV17,rtsp://10.7.10.219/PLTV/88888888/224/3221225903/62184132.smil
CGTN,rtsp://10.7.10.219/PLTV/88888888/224/3221225642/699997.smil
CGTN西语,rtsp://10.7.10.219/PLTV/88888888/224/3221226160/160627387.smil
CGTN法语,rtsp://10.7.10.219/PLTV/88888888/224/3221226141/160627153.smil
CGTN俄语,rtsp://10.7.10.219/PLTV/88888888/224/3221226156/160627315.smil
