央视,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228581/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228903/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/4/224/3221228732/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228118/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228844/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228906/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/4/224/3221228844/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227424/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228909/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/4/224/3221227546/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221228307/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/4/224/3221227549/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221228395/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221228965/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/4/224/3221227537/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221228076/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221228895/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/4/224/3221227502/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221228280/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221228516/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/4/224/3221228516/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227642/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221228901/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/4/224/3221227626/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221228398/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221228578/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221228968/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/4/224/3221228578/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221228758/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221228912/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/4/224/3221227614/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221228654/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221228915/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/4/224/3221227620/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221227720/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221228918/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/4/224/3221227720/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221228657/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221228904/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/4/224/3221227637/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221228324/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221228921/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/4/224/3221225560/index.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/3/224/3221227656/index.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/4/224/3221227693/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221227723/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221228910/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/4/224/3221228622/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228144/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228924/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228974/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228959/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/4/224/3221228112/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221227726/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221228977/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/4/224/3221228642/index.m3u8
CGTN,http://ott.mobaibox.com/PLTV/3/224/3221228978/index.m3u8
CGTN,http://ott.mobaibox.com/PLTV/4/224/3221228811/index.m3u8

卫视,#genre#
安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221228327/index.m3u8
安徽卫视,http://ott.mobaibox.com/PLTV/4/224/3221227558/index.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/3/224/3221228890/index.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/3/224/3221228115/index.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/4/224/3221228817/index.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/4/224/3221228890/index.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/4/224/3221227508/index.m3u8
重庆卫视,http://ott.mobaibox.com/PLTV/3/224/3221229016/index.m3u8
重庆卫视,http://ott.mobaibox.com/PLTV/4/224/3221228133/index.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/3/224/3221228956/index.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/3/224/3221228425/index.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/4/224/3221227511/index.m3u8
甘肃卫视,http://ott.mobaibox.com/PLTV/3/224/3221228961/index.m3u8
甘肃卫视,http://ott.mobaibox.com/PLTV/4/224/3221227568/index.m3u8
广东卫视,http://ott.mobaibox.com/PLTV/3/224/3221228838/index.m3u8
广东卫视,http://ott.mobaibox.com/PLTV/3/224/3221228312/index.m3u8
广东卫视,http://ott.mobaibox.com/PLTV/4/224/3221227476/index.m3u8
广东卫视,http://ott.mobaibox.com/PLTV/4/224/3221228838/index.m3u8
广西卫视,http://ott.mobaibox.com/PLTV/3/224/3221229028/index.m3u8
广西卫视,http://ott.mobaibox.com/PLTV/4/224/3221228183/index.m3u8
贵州卫视,http://ott.mobaibox.com/PLTV/3/224/3221228136/index.m3u8
贵州卫视,http://ott.mobaibox.com/PLTV/4/224/3221228136/index.m3u8
海南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228946/index.m3u8
海南卫视,http://ott.mobaibox.com/PLTV/4/224/3221228101/index.m3u8
河北卫视,http://ott.mobaibox.com/PLTV/3/224/3221228106/index.m3u8
河北卫视,http://ott.mobaibox.com/PLTV/4/224/3221228106/index.m3u8
河南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228221/index.m3u8
河南卫视,http://ott.mobaibox.com/PLTV/4/224/3221228221/index.m3u8
黑龙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221228295/index.m3u8
黑龙江卫视,http://ott.mobaibox.com/PLTV/4/224/3221227514/index.m3u8
湖北卫视,http://ott.mobaibox.com/PLTV/3/224/3221228159/index.m3u8
湖北卫视,http://ott.mobaibox.com/PLTV/4/224/3221227479/index.m3u8
湖南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228883/index.m3u8
湖南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228413/index.m3u8
湖南卫视,http://ott.mobaibox.com/PLTV/4/224/3221227482/index.m3u8
吉林卫视,http://ott.mobaibox.com/PLTV/3/224/3221228130/index.m3u8
吉林卫视,http://ott.mobaibox.com/PLTV/4/224/3221228130/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221228897/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221228099/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221227552/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221228744/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221228861/index.m3u8
江西卫视,http://ott.mobaibox.com/PLTV/3/224/3221227738/index.m3u8
江西卫视,http://ott.mobaibox.com/PLTV/4/224/3221228109/index.m3u8
辽宁卫视,http://ott.mobaibox.com/PLTV/3/224/3221228310/index.m3u8
辽宁卫视,http://ott.mobaibox.com/PLTV/4/224/3221227485/index.m3u8
内蒙古卫视,http://ott.mobaibox.com/PLTV/3/224/3221229010/index.m3u8
内蒙古卫视,http://ott.mobaibox.com/PLTV/3/224/3221225836/index.m3u8
宁夏卫视,http://ott.mobaibox.com/PLTV/3/224/3221228958/index.m3u8
宁夏卫视,http://ott.mobaibox.com/PLTV/3/224/3221225842/index.m3u8
青海卫视,http://ott.mobaibox.com/PLTV/3/224/3221228955/index.m3u8
青海卫视,http://ott.mobaibox.com/PLTV/4/224/3221227554/index.m3u8
山东卫视,http://ott.mobaibox.com/PLTV/3/224/3221228880/index.m3u8
山东卫视,http://ott.mobaibox.com/PLTV/3/224/3221228315/index.m3u8
山东卫视,http://ott.mobaibox.com/PLTV/4/224/3221227517/index.m3u8
山东卫视,http://ott.mobaibox.com/PLTV/4/224/3221227310/index.m3u8
山西卫视,http://ott.mobaibox.com/PLTV/3/224/3221228870/index.m3u8
山西卫视,http://ott.mobaibox.com/PLTV/3/224/3221225786/index.m3u8
陕西卫视,http://ott.mobaibox.com/PLTV/3/224/3221228952/index.m3u8
深圳卫视,http://ott.mobaibox.com/PLTV/3/224/3221228835/index.m3u8
深圳卫视,http://ott.mobaibox.com/PLTV/3/224/3221228236/index.m3u8
深圳卫视,http://ott.mobaibox.com/PLTV/4/224/3221227555/index.m3u8
深圳卫视,http://ott.mobaibox.com/PLTV/4/224/3221228835/index.m3u8
四川卫视,http://ott.mobaibox.com/PLTV/3/224/3221228877/index.m3u8
四川卫视,http://ott.mobaibox.com/PLTV/3/224/3221228171/index.m3u8
四川卫视,http://ott.mobaibox.com/PLTV/4/224/3221228171/index.m3u8
天津卫视,http://ott.mobaibox.com/PLTV/3/224/3221228416/index.m3u8
天津卫视,http://ott.mobaibox.com/PLTV/3/224/3221227488/index.m3u8
西藏卫视,http://ott.mobaibox.com/PLTV/3/224/3221229007/index.m3u8
西藏卫视,http://ott.mobaibox.com/PLTV/3/224/3221226376/index.m3u8
新疆卫视,http://ott.mobaibox.com/PLTV/3/224/3221228934/index.m3u8
新疆卫视,http://ott.mobaibox.com/PLTV/4/224/3221228290/index.m3u8
云南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228966/index.m3u8
云南卫视,http://ott.mobaibox.com/PLTV/4/224/3221228169/index.m3u8
浙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221228900/index.m3u8
浙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221228309/index.m3u8
浙江卫视,http://ott.mobaibox.com/PLTV/4/224/3221227491/index.m3u8

地方,#genre#
北京纪实科教,http://ott.mobaibox.com/PLTV/3/224/3221227699/index.m3u8
北京纪实科教,http://ott.mobaibox.com/PLTV/4/224/3221227699/index.m3u8
北京KAKU少儿,http://ott.mobaibox.com/PLTV/3/224/3221228928/index.m3u8
