央视,#genre#
CCTV1,rtsp://10.255.27.25/PLTV/88888909/224/3221226308/400175508.smil
CCTV2,rtsp://10.255.27.25/PLTV/88888909/224/3221226321/400175520.smil
CCTV3,rtsp://10.255.27.25/PLTV/88888909/224/3221226374/425206339.smil
CCTV4,rtsp://10.255.27.25/PLTV/88888909/224/3221226311/400175511.smil
CCTV5,rtsp://10.255.27.25/PLTV/88888909/224/3221226366/425362471.smil
CCTV5+,rtsp://10.255.27.25/PLTV/88888909/224/3221225744/10000100000000060000000000005954_0.smil
CCTV6,rtsp://10.255.27.25/PLTV/88888909/224/3221226369/425362475.smil
CCTV7,rtsp://10.255.27.25/PLTV/88888909/224/3221226318/400175510.smil
CCTV8,rtsp://10.255.27.25/PLTV/88888909/224/3221226377/425362480.smil
CCTV9,rtsp://10.255.27.25/PLTV/88888909/224/3221226331/400175524.smil
CCTV10,rtsp://10.255.27.25/PLTV/88888909/224/3221226334/400175569.smil
CCTV11,rtsp://10.255.27.25/PLTV/88888909/224/3221226303/380633073.smil
CCTV12,rtsp://10.255.27.25/PLTV/88888909/224/3221226328/400175504.smil
CCTV13,rtsp://10.255.27.25/PLTV/88888909/224/3221226391/418683981.smil
CCTV14,rtsp://10.255.27.25/PLTV/88888909/224/3221226317/400175568.smil
CCTV15,rtsp://10.255.27.25/PLTV/88888909/224/3221226304/380633084.smil
CCTV17,rtsp://10.255.27.25/PLTV/88888909/224/3221226386/431519202.smil

卫视,#genre#
安徽卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226336/400295663.smil
北京卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226447/554302139.smil
北京卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226327/400295635.smil
重庆卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226445/493673761.smil
东方卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226340/400295655.smil
甘肃卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226420/493673757.smil
广东卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226337/400295651.smil
广西卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226450/561080402.smil
贵州卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226330/400295639.smil
海南卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226362/414042243.smil
河北卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226324/400175545.smil
河南卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226429/520229583.smil
黑龙江卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226346/400295709.smil
湖北卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226326/400295647.smil
湖南卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226314/400175587.smil
吉林卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226417/493673453.smil
江苏卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226323/400175549.smil
江西卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226442/493673459.smil
辽宁卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226333/400295643.smil
内蒙古卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221225766/10000100000000060000000000006038_0.smil
宁夏卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226440/564025109.smil
山东卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226349/400295713.smil
山西卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226478/561769646.smil
深圳卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226329/400295659.smil
四川卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221225944/10000100000000060000000000114445_0.smil
天津卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226343/400295701.smil
西藏卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226437/563375017.smil
新疆卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226453/563375024.smil
云南卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226484/565300090.smil
浙江卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226320/400175539.smil

教育,#genre#
CETV1,rtsp://10.255.27.25/PLTV/88888909/224/3221226448/494618824.smil
CETV4,rtsp://10.255.27.25/PLTV/88888909/224/3221226322/394559174.smil
山东教育卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221225748/10000100000000060000000000005959_0.smil

地方,#genre#
北京纪实科教,rtsp://10.255.27.25/PLTV/88888909/224/3221225953/10000100000000060000000000138795_0.smil
北京kaku少儿,rtsp://10.255.27.25/PLTV/88888909/224/3221225665/10000100000000060000000000005994_0.smil
东南卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226332/400295705.smil
内蒙古新闻综合,rtsp://10.255.27.25/PLTV/88888909/224/3221226293/382632502.smil
内蒙古经济生活,rtsp://10.255.27.25/PLTV/88888909/224/3221226299/382634094.smil
内蒙古文体娱乐,rtsp://10.255.27.25/PLTV/88888909/224/3221226306/382634084.smil
内蒙古农牧,rtsp://10.255.27.25/PLTV/88888909/224/3221226310/382632520.smil
内蒙古少儿,rtsp://10.255.27.25/PLTV/88888909/224/3221226307/381681480.smil
兵团卫视,rtsp://10.255.27.25/PLTV/88888909/224/3221226481/563375055.smil

其它,#genre#
江苏卫视4k,rtsp://10.255.27.25/PLTV/88888909/224/3221226443/567947859.smil
四川卫视4k,rtsp://10.255.27.25/PLTV/88888909/224/3221226487/568141018.smil
东方卫视4k,rtsp://10.255.27.25/PLTV/88888909/224/3221226449/567947093.smil
广东卫视4k,rtsp://10.255.27.25/PLTV/88888909/224/3221226475/560700325.smil
湖南卫视4k,rtsp://10.255.27.25/PLTV/88888909/224/3221226456/567947855.smil
鄂尔多斯经济服务,rtsp://10.255.27.25/PLTV/88888909/224/3221225778/10000100000000060000000000006011_0.smil====,http://0/0.m3u8
鄂尔多斯新闻综合,rtsp://10.255.27.25/PLTV/88888909/224/3221225779/10000100000000060000000000006012_0.smil
金鹰纪实,rtsp://10.255.27.25/PLTV/88888909/224/3221225936/10000100000000060000000000114454_0.smil
深圳卫视4k,rtsp://10.255.27.25/PLTV/88888909/224/3221226434/560700679.smil
浙江卫视4k,rtsp://10.255.27.25/PLTV/88888909/224/3221226446/567947095.smil
山东卫视4k,rtsp://10.255.27.25/PLTV/88888909/224/3221226459/568141022.smil
CCTV4K,rtsp://10.255.27.25/PLTV/88888909/224/3221226426/515860004.smil
CHC动作电影,rtsp://10.255.27.25/PLTV/88888909/224/3221226422/538193493.smil
CHC家庭影院,rtsp://10.255.27.25/PLTV/88888909/224/3221226425/538193497.smil
CHC影迷电影,rtsp://10.255.27.25/PLTV/88888909/224/3221226444/538189854.smil
