央视,#genre#
CCTV1,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv1HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv1HD&livemode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv2HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv2HD&livemode=1
CCTV3,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv3HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv3HD&livemode=1
CCTV4,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv4HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv4HD&livemode=1
CCTV4欧洲,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv4Eu/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv4Eu&livemode=1
CCTV4美洲,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv4Am/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv4Am&livemode=1
CCTV5,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv5HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv5HD&livemode=1
CCTV5+,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv5-HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv5-HD&livemode=1
CCTV6,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv6HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv6HD&livemode=1
CCTV7,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv7HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv7HD&livemode=1
CCTV8,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv8HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv8HD&livemode=1
CCTV9,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv9HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv9HD&livemode=1
CCTV10,http://gslbserv.itv.cmvideo.cn:80/000000001000/gd_cctv10HD/1.m3u8?channel-id=ystenlive&Contentid=gd_cctv10HD&livemode=1
