央视,#genre#
CCTV1,http://58.34.204.67:9901/tsfile/live/0001_1.m3u8
CCTV2,http://58.34.204.67:9901/tsfile/live/0002_1.m3u8
CCTV3,http://58.34.204.67:9901/tsfile/live/0003_1.m3u8
CCTV4,http://58.34.204.67:9901/tsfile/live/0004_1.m3u8
CCTV4欧洲,
CCTV4美洲,
CCTV5,http://58.34.204.67:9901/tsfile/live/0005_1.m3u8
CCTV5+,
CCTV6,
CCTV7,http://58.34.204.67:9901/tsfile/live/0007_1.m3u8
CCTV8,http://58.34.204.67:9901/tsfile/live/0008_1.m3u8
CCTV9,http://58.34.204.67:9901/tsfile/live/0009_1.m3u8
CCTV10,
CCTV11,
CCTV12,
CCTV13,
CCTV14,
CCTV15,
CCTV16,
CCTV17,
CCTVNews,
CGTN,
CGTN西语,
CGTN法语,
CGTN俄语,
CGTN阿语,

卫视,#genre#
北京卫视,http://58.34.204.67:9901/tsfile/live/0122_1.m3u8
安徽卫视,http://58.34.204.67:9901/tsfile/live/0130_1.m3u8
山东卫视,http://58.34.204.67:9901/tsfile/live/0131_1.m3u8
江苏卫视,http://58.34.204.67:9901/tsfile/live/0127_1.m3u8
深圳卫视,http://58.34.204.67:9901/tsfile/live/0126_1.m3u8
天津卫视,http://58.34.204.67:9901/tsfile/live/0135_1.m3u8
黑龙江卫视,http://58.34.204.67:9901/tsfile/live/0143_1.m3u8
东方卫视,http://58.34.204.67:9901/tsfile/live/0107_1.m3u8
四川卫视,http://58.34.204.67:9901/tsfile/live/0123_1.m3u8
兵团卫视,
重庆卫视,
东方卫视,
东南卫视,
甘肃卫视,
广东卫视,
广西卫视,
贵州卫视,
海南卫视,
河北卫视,
河南卫视,
黑龙江卫视,
湖北卫视,
湖南卫视,
吉林卫视,
江苏卫视,
江西卫视,
康巴卫视,
辽宁卫视,
内蒙古卫视,
宁夏卫视,
农林卫视,
青海卫视,
三沙卫视,
厦门卫视,
山东卫视,
山西卫视,
陕西卫视,
深圳卫视,
四川卫视,
天津卫视,
西藏卫视,
新疆卫视,
云南卫视,
浙江卫视,

其它,#genre#
北京纪实,http://58.34.204.67:9901/tsfile/live/1002_1.m3u8
家庭影院,http://58.34.204.67:9901/tsfile/live/1001_1.m3u8
魅力足球,http://58.34.204.67:9901/tsfile/live/1004_1.m3u8
动作电影,http://58.34.204.67:9901/tsfile/live/1005_1.m3u8
都市剧场,http://58.34.204.67:9901/tsfile/live/1008_1.m3u8
动漫秀场,http://58.34.204.67:9901/tsfile/live/1009_1.m3u8
新视觉,http://58.34.204.67:9901/tsfile/live/1011_1.m3u8
欢笑剧场,http://58.34.204.67:9901/tsfile/live/1012_1.m3u8
五星体育,http://58.34.204.67:9901/tsfile/live/1014_1.m3u8
上海纪实,http://58.34.204.67:9901/tsfile/live/1013_1.m3u8
上海都市,http://58.34.204.67:9901/tsfile/live/1017_1.m3u8
东方影视,http://58.34.204.67:9901/tsfile/live/1016_1.m3u8
上海新闻,http://58.34.204.67:9901/tsfile/live/1015_1.m3u8
上海外语,http://58.34.204.67:9901/tsfile/live/1019_1.m3u8
生活时尚,http://58.34.204.67:9901/tsfile/live/1020_1.m3u8
第一财经,http://58.34.204.67:9901/tsfile/live/1018_1.m3u8
游戏风云,http://58.34.204.67:9901/tsfile/live/1006_1.m3u8
幸福彩,http://58.34.204.67:9901/tsfile/live/1007_1.m3u8
6号[768*576],http://58.34.204.67:9901/tsfile/live/0006_1.m3u8
10号[768*576],http://58.34.204.67:9901/tsfile/live/0010_1.m3u8
11号[768*576],http://58.34.204.67:9901/tsfile/live/0011_1.m3u8
12号[768*576],http://58.34.204.67:9901/tsfile/live/0012_1.m3u8
14号[768*576],http://58.34.204.67:9901/tsfile/live/0014_1.m3u8
13号[768*576],http://58.34.204.67:9901/tsfile/live/0013_1.m3u8
15号[768*576],http://58.34.204.67:9901/tsfile/live/0015_1.m3u8
124号[768*576],http://58.34.204.67:9901/tsfile/live/0124_1.m3u8
128号[768*576],http://58.34.204.67:9901/tsfile/live/0128_1.m3u8
