央视,#genre#
CCTV1,http://117.136.154.30/PLTV/10/224/3221225961/index.m3u8?servicetype=1
CCTV2,http://117.136.154.30/PLTV/10/224/3221226046/index.m3u8?servicetype=1
CCTV4,http://117.136.154.30/PLTV/10/224/3221225988/index.m3u8?servicetype=1
CCTV4欧洲,http://117.136.154.30/PLTV/10/224/3221225927/index.m3u8?servicetype=1
CCTV4美洲,http://117.136.154.30/PLTV/10/224/3221225925/index.m3u8?servicetype=1
CCTV5,http://117.136.154.30/PLTV/10/224/3221226044/index.m3u8?servicetype=1
CCTV7,http://117.136.154.30/PLTV/10/224/3221225953/index.m3u8?servicetype=1
CCTV9,http://117.136.154.30/PLTV/10/224/3221226038/index.m3u8?servicetype=1
CCTV10,http://117.136.154.30/PLTV/10/224/3221226036/index.m3u8?servicetype=1
CCTV11,http://117.136.154.30/PLTV/10/224/3221226034/index.m3u8?servicetype=1
CCTV12,http://117.136.154.30/PLTV/10/224/3221226030/index.m3u8?servicetype=1
CCTV13,http://117.136.154.30/PLTV/10/224/3221226026/index.m3u8?servicetype=1
CCTV14,http://117.136.154.30/PLTV/10/224/3221226024/index.m3u8?servicetype=1
CCTV15,http://117.136.154.30/PLTV/10/224/3221225931/index.m3u8?servicetype=1
CCTV17,http://117.136.154.30/PLTV/10/224/3221226018/index.m3u8?servicetype=1
CGTN,http://117.136.154.30/PLTV/10/224/3221225899/index.m3u8?servicetype=1
CGTN,http://117.136.154.30/PLTV/10/224/3221226012/index.m3u8?servicetype=1
CGTN西语,http://117.136.154.30/PLTV/10/224/3221225917/index.m3u8?servicetype=1
CGTN法语,http://117.136.154.30/PLTV/10/224/3221225913/index.m3u8?servicetype=1
CGTN俄语,http://117.136.154.30/PLTV/10/224/3221225909/index.m3u8?servicetype=1
CGTN阿语,http://117.136.154.30/PLTV/10/224/3221226000/index.m3u8?servicetype=1
CGTN纪录,http://117.136.154.30/PLTV/10/224/3221225919/index.m3u8?servicetype=1

卫视,#genre#
安徽卫视,http://117.136.154.30/PLTV/10/224/3221225903/index.m3u8?servicetype=1
北京卫视,http://117.136.154.30/PLTV/10/224/3221225994/index.m3u8?servicetype=1
重庆卫视,http://117.136.154.30/PLTV/10/224/3221226014/index.m3u8?servicetype=1
东方卫视,http://117.136.154.30/PLTV/10/224/3221225923/index.m3u8?servicetype=1
甘肃卫视,http://117.136.154.30/PLTV/10/224/3221225947/index.m3u8?servicetype=1
广东卫视,http://117.136.154.30/PLTV/10/224/3221226020/index.m3u8?servicetype=1
广西卫视,http://117.136.154.30/PLTV/10/224/3221226022/index.m3u8?servicetype=1
贵州卫视,http://117.136.154.30/PLTV/10/224/3221226008/index.m3u8?servicetype=1
海南卫视,http://117.136.154.30/PLTV/10/224/3221226032/index.m3u8?servicetype=1
河北卫视,http://117.136.154.30/PLTV/10/224/3221225929/index.m3u8?servicetype=1
河南卫视,http://117.136.154.30/PLTV/10/224/3221226002/index.m3u8?servicetype=1
黑龙江卫视,http://117.136.154.30/PLTV/10/224/3221226004/index.m3u8?servicetype=1
湖北卫视,http://117.136.154.30/PLTV/10/224/3221225921/index.m3u8?servicetype=1
湖南卫视,http://117.136.154.30/PLTV/10/224/3221225990/index.m3u8?servicetype=1
吉林卫视,http://117.136.154.30/PLTV/10/224/3221225933/index.m3u8?servicetype=1
江苏卫视,http://117.136.154.30/PLTV/10/224/3221225992/index.m3u8?servicetype=1
江西卫视,http://117.136.154.30/PLTV/10/224/3221226006/index.m3u8?servicetype=1
辽宁卫视,http://117.136.154.30/PLTV/10/224/3221225996/index.m3u8?servicetype=1
内蒙古卫视,http://117.136.154.30/PLTV/10/224/3221226028/index.m3u8?servicetype=1
宁夏卫视,http://117.136.154.30/PLTV/10/224/3221225941/index.m3u8?servicetype=1
青海卫视,http://117.136.154.30/PLTV/10/224/3221225939/index.m3u8?servicetype=1
山东卫视,http://117.136.154.30/PLTV/10/224/3221225998/index.m3u8?servicetype=1
山西卫视,http://117.136.154.30/PLTV/10/224/3221225937/index.m3u8?servicetype=1
陕西卫视,http://117.136.154.30/PLTV/10/224/3221225935/index.m3u8?servicetype=1
深圳卫视,http://117.136.154.30/PLTV/10/224/3221226010/index.m3u8?servicetype=1
四川卫视,http://117.136.154.30/PLTV/10/224/3221225915/index.m3u8?servicetype=1
天津卫视,http://117.136.154.30/PLTV/10/224/3221225905/index.m3u8?servicetype=1
西藏卫视,http://117.136.154.30/PLTV/10/224/3221225943/index.m3u8?servicetype=1
新疆卫视,http://117.136.154.30/PLTV/10/224/3221225945/index.m3u8?servicetype=1
云南卫视,http://117.136.154.30/PLTV/10/224/3221225911/index.m3u8?servicetype=1
浙江卫视,http://117.136.154.30/PLTV/10/224/3221225901/index.m3u8?servicetype=1

地方,#genre#
