央视,#genre#
CCTV1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225835/1.m3u8
CCTV2,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225833/1.m3u8
CCTV3,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225609/1.m3u8
CCTV4,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225615/1.m3u8
CCTV5,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225607/1.m3u8
CCTV5+,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225893/1.m3u8
CCTV6,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225605/1.m3u8
CCTV7,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225831/1.m3u8
CCTV8,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225603/1.m3u8
CCTV9,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225829/1.m3u8
CCTV10,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225827/1.m3u8
CCTV11,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225591/1.m3u8
CCTV12,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225825/1.m3u8
CCTV13,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225587/1.m3u8
CCTV14,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225823/1.m3u8
CCTV15,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225583/1.m3u8
CCTV16,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226317/1.m3u8
CCTV17,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226037/1.m3u8
CGTN,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226109/1.m3u8
CGTN西语,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226147/1.m3u8
CGTN法语,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226149/1.m3u8
CGTN俄语,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226145/1.m3u8
CGTN阿语,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226155/1.m3u8
CGTN纪录,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226113/1.m3u8

卫视,#genre#
安徽卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225845/1.m3u8
北京卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225861/1.m3u8
重庆卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225839/1.m3u8
东方卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225857/1.m3u8
甘肃卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225661/1.m3u8
广东卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226051/1.m3u8
广西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226111/1.m3u8
贵州卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225923/1.m3u8
海南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226331/1.m3u8
河北卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226127/1.m3u8
