央视,#genre#
CCTV1,rtsp://115.233.41.137/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV1,rtsp://115.233.41.137/PLTV/88888913/224/3221227767/10000100000000060000000000304156_0.smil
CCTV2,rtsp://115.233.41.137/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV2,rtsp://115.233.41.137/PLTV/88888913/224/3221227795/10000100000000060000000000304162_0.smil
CCTV3,rtsp://115.233.41.137/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV4,rtsp://115.233.41.137/PLTV/88888913/224/3221229474/139134403.smil
CCTV4,rtsp://115.233.41.137/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV4,rtsp://115.233.44.137/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV5,rtsp://115.233.41.137/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV5,rtsp://115.233.41.137/PLTV/88888913/224/3221229122/10000100000000060000000005809146_0.smil
CCTV5+,rtsp://115.233.41.137/PLTV/88888913/224/3221229201/52583204.smil
CCTV6,rtsp://115.233.41.137/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV6,rtsp://115.233.41.137/PLTV/88888913/224/3221229165/10000100000000060000000005809145_0.smil
CCTV7,rtsp://115.233.41.137/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV7,rtsp://115.233.41.137/PLTV/88888913/224/3221227782/10000100000000060000000000304168_0.smil
CCTV8,rtsp://115.233.41.137/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV8,rtsp://115.233.41.137/PLTV/88888913/224/3221229118/10000100000000060000000005809144_0.smil
CCTV9,rtsp://115.233.41.137/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV10,rtsp://115.233.41.137/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV10,rtsp://115.233.41.137/PLTV/88888913/224/3221227773/10000100000000060000000000304139_0.smil
CCTV11,rtsp://115.233.41.137/PLTV/88888913/224/3221227777/10000100000000060000000000304164_0.smil
CCTV11,rtsp://115.233.44.137/PLTV/88888913/224/3221227777/10000100000000060000000000304164_0.smil
CCTV12,rtsp://115.233.41.137/PLTV/88888913/224/3221228130/10000100000000060000000002633382_0.smil
CCTV12,rtsp://115.233.41.137/PLTV/88888913/224/3221227810/10000100000000060000000000304202_0.smil
CCTV13,rtsp://115.233.41.137/PLTV/88888913/224/3221229154/52628615.smil
CCTV13,rtsp://115.233.41.137/PLTV/88888913/224/3221227811/10000100000000060000000000304163_0.smil
CCTV14,rtsp://115.233.41.137/PLTV/88888913/224/3221228088/10000100000000060000000002633381_0.smil
CCTV14,rtsp://115.233.41.137/PLTV/88888913/224/3221227747/10000100000000060000000000304138_0.smil
CCTV15,rtsp://115.233.41.137/PLTV/88888913/224/3221227993/10000100000000060000000000794054_0.smil
CCTV15,rtsp://115.233.44.137/PLTV/88888913/224/3221227993/10000100000000060000000000794054_0.smil
CCTV16,rtsp://115.233.41.137/PLTV/88888913/224/3221229307/70526246.smil
CCTV17,rtsp://115.233.41.137/PLTV/88888913/224/3221229176/54864243.smil
CGTN,rtsp://115.233.41.137/PLTV/88888913/224/3221228108/10000100000000060000000002707382_0.smil
CGTN西语,rtsp://115.233.41.137/PLTV/88888913/224/3221229180/54864297.smil
CGTN法语,rtsp://115.233.41.137/PLTV/88888913/224/3221229271/54864338.smil
CGTN俄语,rtsp://115.233.41.137/PLTV/88888913/224/3221229162/54864352.smil
CGTN阿语,rtsp://115.233.41.137/PLTV/88888913/224/3221229158/54864306.smil

卫视,#genre#
