央视频,#genre#
CCTV1,http://23.237.228.134/live5/CCTV1.m3u8
CCTV2,http://23.237.228.134/live5/CCTV2.m3u8
CCTV3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV4,http://23.237.228.134/live5/CCTV4.m3u8
CCTV5,http://23.237.228.134/live5/CCTV5.m3u8
CCTV5+,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV7,http://23.237.228.134/live5/CCTV7.m3u8
CCTV8,http://23.237.228.134/live5/CCTV8.m3u8
CCTV9,http://23.237.228.134/live5/CCTV9.m3u8
CCTV11,http://23.237.228.134/live3/CCTV11.m3u8
CCTV12,http://23.237.228.134/live3/CCTV12.m3u8
CCTV13,http://23.237.228.134/live3/CCTV13.m3u8
CCTV14,http://23.237.228.134/live3/CCTV14.m3u8
CCTV15,http://23.237.228.134/live3/CCTV15.m3u8
CCTV16,http://23.237.228.134/live3/CCTV16.m3u8
CCTV17,http://23.237.228.134/live3/CCTV17.m3u8
北京卫视,http://23.237.228.134/live3/beijing.m3u8
湖南卫视,http://23.237.228.134/live6/hunan.m3u8
浙江卫视,http://23.237.228.134/live6/zhejiang.m3u8
江苏卫视,http://23.237.228.134/live3/jiangsu.m3u8
东方卫视,http://23.237.228.134/live3/dongfang.m3u8
东南卫视,http://23.237.228.134/live6/dongnan.m3u8
云南卫视,http://23.237.228.134/live8/yunnan.m3u8
四川卫视,http://23.237.228.134/live6/sichuan.m3u8
天津卫视,http://23.237.228.134/live8/tianjing.m3u8
安徽卫视,http://23.237.228.134/live8/anhui.m3u8
山东卫视,http://23.237.228.134/live8/shandong.m3u8
广东卫视,http://23.237.228.134/live6/guangdong.m3u8
江西卫视,http://23.237.228.134/live8/jiangxi.m3u8
河北卫视,http://23.237.228.134/live8/hebei.m3u8
河南卫视,http://23.237.228.134/live6/henan.m3u8
海南卫视,http://23.237.228.134/live6/hainan.m3u8
深圳卫视,http://23.237.228.134/live6/shenzhen.m3u8
湖北卫视,http://23.237.228.134/live6/hubei.m3u8
贵州卫视,http://23.237.228.134/live6/guizhou.m3u8
辽宁卫视,http://23.237.228.134/live8/liaoning.m3u8
重庆卫视,http://23.237.228.134/live6/chongqing.m3u8
青海卫视,http://23.237.228.134/live8/qinghai.m3u8
陕西卫视,http://23.237.228.134/live8/shanxiws.m3u8
广西卫视,http://23.237.228.134/live6/guangxi.m3u8
山西卫视,http://23.237.228.134/live8/shanxi.m3u8
吉林卫视,http://23.237.228.134/live8/jilin.m3u8
甘肃卫视,http://23.237.228.134/live8/gansu.m3u8
内蒙古卫视,http://23.237.228.134/live8/neimenggu.m3u8
黑龙江卫视,http://23.237.228.134/live6/heilongjiang.m3u8




